"","Estimator","SL","Bias","Variance","MSE","CI_width"
"1","TMLE","lambda",-0.0297,0.0029,0.0038,0.0762
"2","TMLE","c",-0.0296,0.0029,0.0038,0.0761
"3","TMLE","dn",-0.0299,0.0029,0.0038,0.0765
"4","CV-TMLE","lambda",0.0226,0.0024,0.003,0.0765
"5","CV-TMLE","c",0.0224,0.0024,0.0029,0.0763
"6","CV-TMLE","dn",0.0222,0.0024,0.0029,0.0767
