"","Estimator","SL","Bias","Variance","MSE","CI_width"
"1","TMLE","lambda",-0.0201,0.0024,0.0028,0.0597
"2","TMLE","c",-0.0204,0.0025,0.0029,0.0594
"3","TMLE","dn",-0.0222,0.0024,0.0029,0.0604
"4","CV-TMLE","lambda",0.0221,0.0015,0.002,0.0602
"5","CV-TMLE","c",0.0221,0.0015,0.002,0.0599
"6","CV-TMLE","dn",0.0207,0.0014,0.0019,0.0611
