"","Estimator","SL","Bias","Variance","MSE","CI_width"
"1","TMLE","lambda",-0.0026,0.0057,0.0057,0.0632
"2","TMLE","c",-0.0153,0.0051,0.0053,0.0674
"3","TMLE","dn",-0.0163,0.0052,0.0054,0.0698
"4","CV-TMLE","lambda",0.0697,0.002,0.0069,0.0714
"5","CV-TMLE","c",0.0688,0.0022,0.0069,0.0759
"6","CV-TMLE","dn",0.0669,0.0023,0.0068,0.0781
