"","Estimator","SL","Bias","Variance","MSE","CI_width"
"1","TMLE","lambda",-0.0337,0.0044,0.0055,0.0601
"2","TMLE","c",-0.0344,0.0043,0.0055,0.0596
"3","TMLE","dn",-0.0339,0.0043,0.0055,0.0601
"4","CV-TMLE","lambda",0.0522,0.0018,0.0045,0.064
"5","CV-TMLE","c",0.0524,0.0017,0.0045,0.0636
"6","CV-TMLE","dn",0.0521,0.0018,0.0045,0.0641
