"","Estimator","SL","Bias","Variance","MSE","CI_width"
"1","TMLE","lambda",-0.0758,0.005,0.0107,0.0592
"2","TMLE","c",-0.0778,0.0049,0.011,0.0587
"3","TMLE","dn",-0.0787,0.005,0.0112,0.0596
"4","CV-TMLE","lambda",2e-04,0.0014,0.0014,0.0611
"5","CV-TMLE","c",4e-04,0.0014,0.0014,0.0609
"6","CV-TMLE","dn",2e-04,0.0014,0.0014,0.0616
