"","Estimator","SL","Bias","Variance","MSE","CI_width"
"1","TMLE","lambda",-0.0195,0.0051,0.0055,0.0707
"2","TMLE","c",-0.0221,0.0049,0.0054,0.0704
"3","TMLE","dn",-0.0209,0.005,0.0055,0.0712
"4","CV-TMLE","lambda",0.0661,0.0024,0.0068,0.0785
"5","CV-TMLE","c",0.0662,0.0024,0.0067,0.0787
"6","CV-TMLE","dn",0.0657,0.0024,0.0067,0.0791
