"","Estimator","SL","Bias","Variance","MSE","CI_width"
"1","TMLE","lambda",-0.0315,0.0045,0.0055,0.0595
"2","TMLE","c",-0.0315,0.0042,0.0052,0.0581
"3","TMLE","dn",-0.0341,0.0043,0.0055,0.0601
"4","CV-TMLE","lambda",0.0533,0.0018,0.0046,0.0632
"5","CV-TMLE","c",0.0539,0.0017,0.0046,0.0622
"6","CV-TMLE","dn",0.0524,0.0018,0.0045,0.0641
