"","Estimator","SL","Bias","Variance","MSE","CI_width"
"1","TMLE","lambda",-0.0757,0.0038,0.0095,0.0714
"2","TMLE","c",-0.0773,0.0036,0.0096,0.0719
"3","TMLE","dn",-0.079,0.0037,0.0099,0.0729
"4","CV-TMLE","lambda",3e-04,0.002,0.002,0.0767
"5","CV-TMLE","c",0,0.0021,0.0021,0.0773
"6","CV-TMLE","dn",4e-04,0.0021,0.0021,0.0782
