"","Estimator","SL","Bias","Variance","MSE","CI_width"
"1","TMLE","lambda",-0.0648,0.0044,0.0086,0.0567
"2","TMLE","c",-0.0686,0.0043,0.009,0.0564
"3","TMLE","dn",-0.0783,0.0049,0.0111,0.0595
"4","CV-TMLE","lambda",4e-04,0.0013,0.0013,0.0584
"5","CV-TMLE","c",5e-04,0.0013,0.0013,0.0584
"6","CV-TMLE","dn",4e-04,0.0014,0.0014,0.0616
