"","Estimator","SL","Bias","Variance","MSE","CI_width"
"1","TMLE","lambda",-0.026,0.0032,0.0039,0.0729
"2","TMLE","c",-0.0284,0.003,0.0038,0.0736
"3","TMLE","dn",-0.0303,0.003,0.0039,0.0755
"4","CV-TMLE","lambda",0.0278,0.0024,0.0032,0.0732
"5","CV-TMLE","c",0.0267,0.0023,0.003,0.0739
"6","CV-TMLE","dn",0.025,0.0024,0.003,0.0758
