"","Estimator","SL","Bias","Variance","MSE"
"1","TMLE","lambda",-0.07584,0.00498,0.01073
"2","TMLE","c",-0.07784,0.0049,0.01096
"3","TMLE","dn",-0.07875,0.00501,0.01121
"4","CV-TMLE","lambda",0.00017,0.00142,0.00142
"5","CV-TMLE","c",0.00036,0.0014,0.0014
"6","CV-TMLE","dn",0.00023,0.00144,0.00144
