"","Estimator","SL","Bias","Variance","MSE"
"1","TMLE","lambda",-0.02157,0.00238,0.00285
"2","TMLE","c",-0.0215,0.00236,0.00282
"3","TMLE","dn",-0.02161,0.00238,0.00285
"4","CV-TMLE","lambda",0.02093,0.00148,0.00192
"5","CV-TMLE","c",0.02103,0.00148,0.00192
"6","CV-TMLE","dn",0.02076,0.00146,0.0019
