"","Estimator","SL","Bias","Variance","MSE"
"1","TMLE","lambda",-0.0337,0.00437,0.0055
"2","TMLE","c",-0.03438,0.00429,0.00547
"3","TMLE","dn",-0.03386,0.00434,0.00549
"4","CV-TMLE","lambda",0.05224,0.00179,0.00452
"5","CV-TMLE","c",0.05236,0.00175,0.00449
"6","CV-TMLE","dn",0.05208,0.00178,0.00449
