"","MSE","TMLE","TMLE1","TMLE2"
"blip_SL.glm",0.446031879158372,0.275154355440546,0.0671144551031307,0.196644949469517
"blip_SL.mean",0.13043352286056,0.113148557155603,0.0550863458441943,0.0988738744202456
"blip_SL.glm.interaction",0.100931212676617,0.138699306018757,0.0604630560277299,0.129163661633162
"blip_SL.earth",0.0864223509744855,0.121610993325498,0.0771226878910137,0.140706137069705
"blip_SL.nnet",0.0961193504612485,0.137622013211571,0.063719198779574,0.148201666644296
"blip_SL.svm",0.0582354463413295,0.0913904209828953,0.0616922003906168,0.111137664829063
"blip_SL.rpart",0.0818262375273875,0.12237435386513,0.0811277248932903,0.175272045934011
"Qlearn",NA,NA,0.0730721346028158,NA
"OWL",NA,NA,0.0723888695214141,NA
"EARL",NA,NA,0.103226006398445,NA
"optclass",NA,NA,0.0788134706682064,NA
"RWL",NA,NA,0.0677059032276338,NA
"Treat all",NA,NA,0.070680600428154,NA
"Treat none",NA,NA,0.0677873462237808,NA
