"","Bias","Variance","MSE"
"MSE",-0.32092553837774,0.0794644361570394,0.182374775571409
"TMLE",-0.214868936660026,0.0427553930604056,0.0888812976087555
"TMLE1",-0.212006614910584,0.0337101672883445,0.0786218206805828
"TMLE2",-0.225594367910613,0.0459375254640435,0.0967844067715686
"TMLE3",-0.374131448075982,0.00378534632220107,0.14375590141531
