"","Bias","Variance","MSE"
"MSE",-0.0253324711030277,0.000153859272009486,0.00079543950492321
"TMLE",-0.0268281031615804,0.000162370253999869,0.000881955002994266
"TMLE1",-0.0287609824947996,0.000201161931881775,0.00102815488401606
"TMLE2",-0.027714112423725,0.000188846445299322,0.000956729626288894
"MSE1",-0.0765236349783412,0.000269554971229962,0.00612515212655714
"TMLE3",-0.0765236349783412,0.000269554971229962,0.00612515212655714
