"","MSE","TMLE","TMLE1","TMLE2"
"blip_SL.glm",0.0528153689188409,0.0935537224770929,0.039694792561819,0.0686325428489523
"blip_SL.mean",0.132241614724103,0.114360818503203,0.0420499377931438,0.0824664988196529
"blip_SL.glm.interaction",0.0341975681190598,0.0768659678253162,0.0384632018649359,0.0639921805165646
"blip_SL.earth",0.27292022352419,0.2693376470537,0.174389929909284,0.278897644320203
"blip_SL.nnet",0.107425742958801,0.0995398832369353,0.0607863971445641,0.113457458071912
"blip_SL.svm",0.199650436859413,0.173414852171505,0.0947208267466473,0.15793084720909
"blip_SL.rpart",0.200749044895591,0.172927108732247,0.139597291852636,0.234622828213626
"Qlearn",NA,NA,0.0500245448644518,NA
"OWL",NA,NA,0.0639321787396663,NA
"EARL",NA,NA,0.0403632170710594,NA
"optclass",NA,NA,0.0888757070270709,NA
"RWL",NA,NA,0.0377171781349864,NA
"Treat all",NA,NA,0.0696772566889109,NA
"Treat none",NA,NA,0.0597075396008249,NA
